Sample ID (TARA_barcode#, registered at ...)	Sample ID (BioSamples accession number (...)	Sample ID (ENA sample accession number (...)	Basis	Campaign	Station (TARA_station#, registered at ...)	Method/Device	Event	Date/Time	Latitude	Longitude	Env feature ([abbreviation], full name (EN...)	Depth, nominal (from which this sample was co...)	Depth top [m] (from which this sample was co...)	Depth bot [m] (from which this sample was co...)	Fraction lower [µm] (used on board to prepare samp...)	Fraction upper [µm] (used on board to prepare samp...)	Sample material (TARA_station#_environmental-f...)	Sample method (short label describing the ta...)	Sample label (TARA_event-datetime_station#_...)	Env feature (about the thickness of the la...)	Env feature (about the pelagic zone (e.g. ...)	Env feature (about the light environment (...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Env feature (about vertical stratification...)	Env feature (about connectivity with the b...)	Env feature (about other information provi...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Kd490 [1/m] (at the sampling location and ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	bbp470 [1/m] ((443 nm) at the sampling loca...)	acCDOM [1/m] ((443 nm) at the sampling loca...)	Kd(PAR) [1/m] (Kd(PAR)1 is calculated for a ...)	Kd(PAR) [1/m] (Kd(PAR)2 is calculated for a ...)	z(SD) [m] (Measured in situ)	z(eu) [m] (at the sampling location for ...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	UMLD [m] (based on sigma theta, calcula...)	UMLD [m] (based on temperature, calcula...)	D chl m [m] (calculated from in situ senso...)	Depth max Brunt Väisälä freq [m] (calculated from in situ senso...)	Depth max O2 [m] (calculated from in situ senso...)	Depth min O2 [m] (calculated from in situ senso...)	Depth nitracline [m] (calculated from in situ senso...)	Temp [°C] (at a depth of 10 m, below the...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of maximum chlor...)	Temp [°C] (at the depth of maximum Brunt...)	Temp [°C] (at the depth of maximum oxyge...)	Temp [°C] (at the depth of minimum oxyge...)	Temp [°C] (at the depth of the nitraclin...)	Sal (at a depth of 10 m, below the...)	Sal (at the base of the euphotic z...)	Sal (at the base of the euphotic z...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of maximum chlor...)	Sal (at the depth of maximum Brunt...)	Sal (at the depth of maximum oxyge...)	Sal (at the depth of minimum oxyge...)	Sal (at the depth of the nitraclin...)	Sigma-theta [kg/m**3] (at a depth of 10 m, below the...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of maximum chlor...)	Sigma-theta [kg/m**3] (at the depth of maximum Brunt...)	Sigma-theta [kg/m**3] (at the depth of maximum oxyge...)	Sigma-theta [kg/m**3] (at the depth of minimum oxyge...)	Sigma-theta [kg/m**3] (at the depth of the nitraclin...)	N**2 [1/s**2] (at a depth of 10 m, below the...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of maximum chlor...)	N**2 [1/s**2] (at the depth of maximum Brunt...)	N**2 [1/s**2] (at the depth of maximum oxyge...)	N**2 [1/s**2] (at the depth of minimum oxyge...)	N**2 [1/s**2] (at the depth of the nitraclin...)	Chl a [mg/m**3] (at a depth of 10 m, below the...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of maximum chlor...)	Chl a [mg/m**3] (at the depth of maximum Brunt...)	Chl a [mg/m**3] (at the depth of maximum oxyge...)	Chl a [mg/m**3] (at the depth of minimum oxyge...)	Chl a [mg/m**3] (at the depth of the nitraclin...)	OXYGEN [µmol/kg] (at a depth of 10 m, below the...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of maximum chlor...)	OXYGEN [µmol/kg] (at the depth of maximum Brunt...)	OXYGEN [µmol/kg] (at the depth of maximum oxyge...)	OXYGEN [µmol/kg] (at the depth of minimum oxyge...)	OXYGEN [µmol/kg] (at the depth of the nitraclin...)	[NO3]- [µmol/l] (at a depth of 10 m, below the...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of maximum chlor...)	[NO3]- [µmol/l] (at the depth of maximum Brunt...)	[NO3]- [µmol/l] (at the depth of maximum oxyge...)	[NO3]- [µmol/l] (at the depth of minimum oxyge...)	[NO3]- [µmol/l] (at the depth of the nitraclin...)
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_B100000513	SAMEA2621198	ERS490542	SV Tara	TARA_20101003Z	TARA_076	High Volume Peristaltic Pump	TARA_20101016T0955Z_076_EVENT_PUMP	2010-10-16T09:55	-20.9354	-35.1803	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_076_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100000513	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.4645	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	15.618	1.089820558		191.757		24.611780166626	9.3079768703319E-05	-3847	-20.7333	-35.3933	332.8446	0.59536	1.2E-07	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000816	SAMEA2621203	ERS490547	SV Tara	TARA_20101003Z	TARA_076	High Volume Peristaltic Pump	TARA_20101016T0955Z_076_EVENT_PUMP	2010-10-16T09:55	-20.9354	-35.1803	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_076_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000816	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.4645	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	15.618	1.089820558		191.757		24.611780166626	9.3079768703319E-05	-3847	-20.7333	-35.3933	332.8446	0.59536	1.2E-07	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000813	SAMEA2621204	ERS490548	SV Tara	TARA_20101003Z	TARA_076	High Volume Peristaltic Pump	TARA_20101016T0955Z_076_EVENT_PUMP	2010-10-16T09:55	-20.9354	-35.1803	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_076_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000813	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.4645	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	15.618	1.089820558		191.757		24.611780166626	9.3079768703319E-05	-3847	-20.7333	-35.3933	332.8446	0.59536	1.2E-07	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_R100001126	SAMEA2621213	ERS490557	SV Tara	TARA_20101003Z	TARA_076	High Volume Peristaltic Pump	TARA_20101016T0955Z_076_EVENT_PUMP	2010-10-16T09:55	-20.9354	-35.1803	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_076_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001126	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.4645	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	15.618	1.089820558		191.757		24.611780166626	9.3079768703319E-05	-3847	-20.7333	-35.3933	332.8446	0.59536	1.2E-07	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_B100000519	SAMEA2621216	ERS490597	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	2010-10-16T16:58	-21.0292	-35.3498	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.22	3	TARA_076_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(100L)_W0.22-3_B100000519	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.083496	51.30575	45.8273963928223	48.495186	23.85985975	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.03825063072145	14.9669	1.089820558		201.5375		24.4235963821411	7.0856453021406E-05	-4087	-20.7366	-35.4	30.3292	0.32089	3.996E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000817	SAMEA2621221	ERS490602	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	2010-10-16T16:58	-21.0292	-35.3498	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.22	0.45	TARA_076_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(dry)_W0.22-0.45_Y100000817	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.083496	51.30575	45.8273963928223	48.495186	23.85985975	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.03825063072145	14.9669	1.089820558		201.5375		24.4235963821411	7.0856453021406E-05	-4087	-20.7366	-35.4	30.3292	0.32089	3.996E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000814	SAMEA2621222	ERS490603	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	2010-10-16T16:58	-21.0292	-35.3498	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.45	0.8	TARA_076_DCM_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(dry)_W0.45-0.8_Y100000814	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.083496	51.30575	45.8273963928223	48.495186	23.85985975	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.03825063072145	14.9669	1.089820558		201.5375		24.4235963821411	7.0856453021406E-05	-4087	-20.7366	-35.4	30.3292	0.32089	3.996E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_R100001129	SAMEA2621229	ERS490610	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	2010-10-16T16:58	-21.0292	-35.3498	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	<0.22	0.22	TARA_076_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(FeCl3)_W<0.22_R100001129	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.65	day	755	41.083496	51.30575	45.8273963928223	48.495186	23.85985975	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.03825063072145	14.9669	1.089820558		201.5375		24.4235963821411	7.0856453021406E-05	-4087	-20.7366	-35.4	30.3292	0.32089	3.996E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_B100000749	SAMEA2621232	ERS490633	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	2010-10-17T09:05	-20.9315	-35.1794	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.22	3	TARA_076_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MES_(800m)_SEQ-(100L)_W0.22-3_B100000749	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.74	day	756	58.454884	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	14.2624	1.089820558		192.574		24.611780166626	9.3079768703319E-05	-3907	-20.7333	-35.3933	36.257	0.20289	5.672E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_N000000915	SAMEA2621245	ERS490646	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	2010-10-17T09:05	-20.9315	-35.1794	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.8	3	TARA_076_MES_0.8-3	SEQ-(100L-or-15min)_W0.8-3	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MES_(800m)_SEQ-(100L-or-15min)_W0.8-3_N000000915	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.74	day	756	58.454884	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	14.2624	1.089820558		192.574		24.611780166626	9.3079768703319E-05	-3907	-20.7333	-35.3933	36.257	0.20289	5.672E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000815	SAMEA2621242	ERS490643	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	2010-10-17T09:05	-20.9315	-35.1794	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.45	0.8	TARA_076_MES_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.45-0.8_Y100000815	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.74	day	756	58.454884	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	14.2624	1.089820558		192.574		24.611780166626	9.3079768703319E-05	-3907	-20.7333	-35.3933	36.257	0.20289	5.672E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_R100001132	SAMEA2621247	ERS490648	SV Tara	TARA_20101003Z	TARA_076	Rosette Vertical Sampling System	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	2010-10-17T09:05	-20.9315	-35.1794	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	<0.22	0.22	TARA_076_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MES_(800m)_SEQ-(FeCl3)_W<0.22_R100001132	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	early	ascending	0.74	day	756	58.454884	50.914387	44.1821727752686	49.647606	23.79766	0.000776878	9.6867E-05	0.011959192	0.005458087	0.013930039	0.004650481	0.013453111	0.013685053		0.039039244875312	14.2624	1.089820558		192.574		24.611780166626	9.3079768703319E-05	-3907	-20.7333	-35.3933	36.257	0.20289	5.672E-06	0.47917	2.691546	0.084131	0.027592	0			120	-21.599961	-34.64267																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_B100000524	SAMEA2621254	ERS490659	SV Tara	TARA_20101031Z	TARA_078	High Volume Peristaltic Pump	TARA_20101104T1015Z_078_EVENT_PUMP	2010-11-04T10:24	-30.1367	-43.2899	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_078_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100000524	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.8491821289062	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.068488400429487	20.9027	1.737209334		352.555	0.052452186122537	39.0039539337158	0.0002048036622	-3887	-28.4444	-48.7333	554.4294	3.7648	1.5787E-05	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000992	SAMEA2621259	ERS490664	SV Tara	TARA_20101031Z	TARA_078	High Volume Peristaltic Pump	TARA_20101104T1015Z_078_EVENT_PUMP	2010-11-04T10:24	-30.1367	-43.2899	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_078_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000992	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.8491821289062	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.068488400429487	20.9027	1.737209334		352.555	0.052452186122537	39.0039539337158	0.0002048036622	-3887	-28.4444	-48.7333	554.4294	3.7648	1.5787E-05	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000991	SAMEA2621260	ERS490665	SV Tara	TARA_20101031Z	TARA_078	High Volume Peristaltic Pump	TARA_20101104T1015Z_078_EVENT_PUMP	2010-11-04T10:24	-30.1367	-43.2899	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_078_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000991	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.8491821289062	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.068488400429487	20.9027	1.737209334		352.555	0.052452186122537	39.0039539337158	0.0002048036622	-3887	-28.4444	-48.7333	554.4294	3.7648	1.5787E-05	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_R100001224	SAMEA2621271	ERS490676	SV Tara	TARA_20101031Z	TARA_078	High Volume Peristaltic Pump	TARA_20101104T1015Z_078_EVENT_PUMP	2010-11-04T10:24	-30.1367	-43.2899	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_078_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001224	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.8491821289062	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.068488400429487	20.9027	1.737209334		352.555	0.052452186122537	39.0039539337158	0.0002048036622	-3887	-28.4444	-48.7333	554.4294	3.7648	1.5787E-05	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_B100000530	SAMEA2621272	ERS490691	SV Tara	TARA_20101031Z	TARA_078	Rosette Vertical Sampling System	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	2010-11-04T18:16	-30.1484	-43.2705	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.22	3	TARA_078_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(100L)_W0.22-3_B100000530	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.1268825531006	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.069664072245359	19.6634	1.737209334		352.555	0.051122955977917	38.968807220459	0.000203360694286	-3879	-28.4444	-48.7333	564.404	1.5442	7.603E-06	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000996	SAMEA2621277	ERS490696	SV Tara	TARA_20101031Z	TARA_078	Rosette Vertical Sampling System	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	2010-11-04T18:16	-30.1484	-43.2705	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.22	0.45	TARA_078_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(dry)_W0.22-0.45_Y100000996	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.1268825531006	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.069664072245359	19.6634	1.737209334		352.555	0.051122955977917	38.968807220459	0.000203360694286	-3879	-28.4444	-48.7333	564.404	1.5442	7.603E-06	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN.tab:TARA_Y100000994	SAMEA2621278	ERS490697	SV Tara	TARA_20101031Z	TARA_078	Rosette Vertical Sampling System	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	2010-11-04T18:16	-30.1484	-43.2705	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.45	0.8	TARA_078_DCM_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(dry)_W0.45-0.8_Y100000994	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.68	58.560814	55.1268825531006	51.30902	20.8267705	0.000862562	6.4583E-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574		0.069664072245359	19.6634	1.737209334		352.555	0.051122955977917	38.968807220459	0.000203360694286	-3879	-28.4444	-48.7333	564.404	1.5442	7.603E-06	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714																																																				
